# Logfile created on 2025-04-18 14:08:24 -0400 by logger.rb/v1.7.0I, [2025-04-18T19:40:21.698821 #35154]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:40:21.704809 #35154]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:40:21.710932 #35154]  INFO -- : Total oz: 3
I, [2025-04-18T19:40:30.454466 #35156]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:40:30.463297 #35156]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:40:30.472278 #35156]  INFO -- : Total oz: 3
I, [2025-04-18T19:42:36.116500 #35167]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:42:36.124729 #35167]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:42:36.133103 #35167]  INFO -- : Total oz: 3
I, [2025-04-18T19:43:06.532946 #35174]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:43:06.541524 #35174]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:43:06.550785 #35174]  INFO -- : Total oz: 3
I, [2025-04-18T19:44:30.458376 #35189]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:44:30.462268 #35189]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:44:30.466907 #35189]  INFO -- : Total oz: 3
I, [2025-04-18T19:46:21.534936 #35202]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:46:21.543565 #35202]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:46:21.551559 #35202]  INFO -- : Total oz: 3
I, [2025-04-18T19:47:13.796942 #35208]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:47:13.802393 #35208]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:47:13.808172 #35208]  INFO -- : Total oz: 3
I, [2025-04-18T19:48:09.352390 #35215]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:48:09.360329 #35215]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:48:09.364041 #35215]  INFO -- : Total oz: 3
I, [2025-04-18T19:51:48.863222 #35247]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:51:48.870880 #35247]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:51:48.881807 #35247]  INFO -- : Total oz: 3
I, [2025-04-18T19:54:06.497286 #35271]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:54:06.504953 #35271]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:54:06.513044 #35271]  INFO -- : Total oz: 3
I, [2025-04-18T19:55:00.274673 #35285]  INFO -- : Total oz: 41.361689999999996
I, [2025-04-18T19:55:00.283394 #35285]  INFO -- : Total oz: 7.7234
I, [2025-04-18T19:55:00.292019 #35285]  INFO -- : Total oz: 3
I, [2025-04-18T19:59:22.757997 #35318]  INFO -- : Total oz: 25
I, [2025-04-18T19:59:22.765780 #35318]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T19:59:22.773980 #35318]  INFO -- : Total oz: 65
I, [2025-04-18T20:01:56.254284 #35342]  INFO -- : Total oz: 25
I, [2025-04-18T20:01:56.262505 #35342]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:01:56.271230 #35342]  INFO -- : Total oz: 65
I, [2025-04-18T20:10:37.104273 #35412]  INFO -- : Total oz: 25
I, [2025-04-18T20:10:37.112342 #35412]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:10:37.120111 #35412]  INFO -- : Total oz: 65
I, [2025-04-18T20:43:07.782260 #35412]  INFO -- : Total oz: 25
I, [2025-04-18T20:43:07.790097 #35412]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:43:07.797638 #35412]  INFO -- : Total oz: 65
I, [2025-04-18T20:43:24.352020 #35657]  INFO -- : Total oz: 25
I, [2025-04-18T20:43:24.359803 #35657]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:43:24.368881 #35657]  INFO -- : Total oz: 65
I, [2025-04-18T20:44:56.916760 #35674]  INFO -- : Total oz: 25
I, [2025-04-18T20:44:56.925584 #35674]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:44:56.933643 #35674]  INFO -- : Total oz: 65
I, [2025-04-18T20:45:33.619980 #35674]  INFO -- : Total oz: 25
I, [2025-04-18T20:45:33.627613 #35674]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:45:33.635571 #35674]  INFO -- : Total oz: 65
I, [2025-04-18T20:52:28.588937 #35730]  INFO -- : Total oz: 25
I, [2025-04-18T20:52:28.596335 #35730]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:52:28.605120 #35730]  INFO -- : Total oz: 65
I, [2025-04-18T20:52:29.532075 #35730]  INFO -- : Shipping total: 9.95
I, [2025-04-18T20:52:29.540967 #35730]  INFO -- : Shipping total: 37.0
I, [2025-04-18T20:52:29.546109 #35730]  INFO -- : Shipping total: 55.040000000000006
I, [2025-04-18T20:59:57.020513 #35730]  INFO -- : Total oz: 25
I, [2025-04-18T20:59:57.027997 #35730]  INFO -- : Total oz: 39.428284799999986
I, [2025-04-18T20:59:57.035035 #35730]  INFO -- : Total oz: 65
I, [2025-04-19T14:37:56.853094 #37783]  INFO -- : Total oz Bar: 25
I, [2025-04-19T14:37:56.859263 #37783]  INFO -- : Total oz Junk: 39.428284799999986
I, [2025-04-19T14:37:56.864025 #37783]  INFO -- : Total oz Bullion: 65
I, [2025-04-21T20:26:43.162987 #37783]  INFO -- : Total oz Bar: 25
I, [2025-04-21T20:26:43.170346 #37783]  INFO -- : Total oz Junk: 39.428284799999986
I, [2025-04-21T20:26:43.176546 #37783]  INFO -- : Total oz Bullion: 65
I, [2025-04-22T09:26:44.607207 #37783]  INFO -- : Total oz Bar: 25
I, [2025-04-22T09:26:44.613156 #37783]  INFO -- : Total oz Junk: 39.428284799999986
I, [2025-04-22T09:26:44.617832 #37783]  INFO -- : Total oz Bullion: 65
I, [2025-04-22T15:38:09.780763 #37783]  INFO -- : Entered 40 from Southern conforont
I, [2025-04-23T19:01:00.341782 #1146]  INFO -- : Total oz Bar: 25
I, [2025-04-23T19:01:00.351548 #1146]  INFO -- : Total oz Junk: 39.428284799999986
I, [2025-04-23T19:01:00.359145 #1146]  INFO -- : Total oz Bullion: 65
I, [2025-04-24T18:36:37.198601 #3110]  INFO -- : Total oz Bar: 25
